review_id,target_area,target_claim_ids,input_artifacts,source_ids,period,unit,perimeter,accounting_basis,check_type,independent_result,residual,alternative_definition_effect,decision,status,blocking_issue,notes
REPL_LEGAL_CHRONOLOGY,legal_rate_chronology,BANK_LEGAL_001;BANK_LEGAL_002;BANK_LEGAL_003;BANK_LEGAL_004;BANK_LEGAL_005;BANK_LEGAL_006,evidence/claim_registry.csv;evidence/bank_pension_transfer_registry.csv,DR_DL127_2011,2011,not_applicable,aggregate_bank_transfer_dl127,legal_scope,registry_cross_check,Legal claims are registered but not article-evidence rows because the current article gate only carries quantitative and accounting claims,not_applicable,Broader legal chronology remains incomplete until historical CGA and RGSS rate rows are extracted,unresolved_requires_sources,blocked_missing_inputs,missing_full_legal_rate_history,Hostile review cannot independently reproduce full legal-rate chronology from current machine-readable evidence
REPL_ACCOUNTING_IDENTITIES,accounting_identities,CGA_CGE_2011_001;BANK_COST_001,evidence/article_evidence.csv;data/processed/cga_financing_ledger.csv;data/processed/bank_pension_cost_2012.csv,DGO_CGE_2011;TC_AEO_2013_SS_2012;EC_EXPOST_PAEF,2011-2012,EUR_million,cga_and_bank_substitute_regime,budgetary_public_accounts,arithmetic_reconciliation,CGA 2011 balance decomposition and 2012 bank pension expenditure financing identity reproduce within registered rounding,0.0,No conclusion changes under budgetary perimeter for these rows; system-wide balance remains blocked,replicated_bounded,partial_bounded_review,missing_complete_component_ledgers,Only the registered article-evidence identities are reproduced
REPL_BANK_PERIMETER,bank_transfer_perimeter,BANK_AL_2011_001;BANK_AL_2011_002;BPN_2012_001;BPN_2012_002;BPN_2012_003,evidence/claim_registry.csv;data/processed/bpn_2012_pension_transfer.csv;data/processed/bank_transfer_debt_financing_effects.csv,DGO_CGE_2011;DR_DL127_2011;DR_DL88_2012;TC_AEO_2013_SS_2012,2011-2012,EUR_million,dl127_main_panel_and_bpn_separate_case,mixed_legal_and_budgetary,perimeter_boundary_check,Main 2011 DL127 transfer and BPN 2012 DL88 case are kept as separate perimeters,not_applicable,Including BPN in a broader bank perimeter changes totals and must be labelled explicitly,replicated_bounded,partial_bounded_review,missing_bank_level_transfer_schedules,The review rejects merging BPN into the 2011 main panel without a broader perimeter definition
REPL_DISCOUNT_RATE,discount_rate_implementation,BANK_LEGAL_003,evidence/claim_registry.csv;evidence/actuarial_identifiability_registry.csv;data/processed/bank_asset_liability_sensitivity.csv,DR_DL127_2011,2011-2012,percent,aggregate_bank_transfer_dl127,legal_valuation_assumption,assumption_boundary_check,The legal 4 percent discount-rate claim is registered but liability sensitivities remain non-computable without cash-flow schedules,not_applicable,A lower or higher economic discount rate can change liability bounds but current evidence cannot quantify the change,unresolved_requires_sources,blocked_missing_inputs,missing_pension_cashflow_and_demographic_schedules,The review treats 4 percent as a legal assumption rather than an economic benchmark
REPL_ESA_TREATMENT,esa95_esa2010_treatment,BANK_FISCAL_001;BANK_FISCAL_002,evidence/article_evidence.csv;data/processed/bank_esa_treatment_bridge.csv,EC_EXPOST_PAEF;DGO_CGE_2011,2011,percent_GDP,aggregate_bank_transfer_dl127,national_accounts,classification_and_arithmetic_check,ESA-95 3.5 percent GDP arithmetic reproduces and ESA-2010 no-direct-deficit classification is recorded from EC source,0.0,The conclusion changes by accounting standard: ESA-95 affects headline deficit while ESA-2010 is financial-transaction treatment,replicated_bounded,partial_bounded_review,missing_machine_readable_esa_restatement,Full national-accounts restatement is not reproduced from transaction-level EDP tables
REPL_STATE_FINANCING,state_specific_financing,BANK_COST_001;BANK_DEBT_001,evidence/article_evidence.csv;data/processed/bank_pension_cost_2012.csv;data/processed/bank_transfer_debt_financing_effects.csv,TC_AEO_2013_SS_2012;DGO_CGE_2011;BDP_ANNUAL_REPORT_2012,2011-2012,EUR_million,bank_substitute_regime,budgetary_public_accounts,state_transfer_reconciliation,The 2012 EUR 516.0m pension expenditure and current-transfer financing match in the official audit,0.0,Beyond 2012 conclusions change if financing is measured gross of assets interest income or pension-obligation cash costs,replicated_bounded,partial_bounded_review,missing_post_2012_state_specific_series,No lifecycle public-finance gain or loss is established
REPL_MISSING_VALUES,missing_value_treatment,BANK_DEBT_001;evidence_blockers,evidence/data_quality_registry.csv;data/processed/falsification_review.csv,source_registry;data_quality_registry,2006-2025,mixed,multiple,mixed_basis,blocking_status_review,Missing values are explicitly carried in data-quality and falsification ledgers rather than filled by estimates,not_applicable,Most motivating conclusions remain unresolved when missing values are not imputed,no_overstatement_detected,partial_bounded_review,missing_primary_source_inputs,The review found no silent substitution of estimates for blocked official values in registered outputs
REPL_COUNTERFACTUAL_BUDGET,counterfactual_budget_consistency,counterfactual_rules,evidence/counterfactual_registry.csv;data/processed/counterfactual_financing_regimes.csv,source_registry;counterfactual_registry,2006-2025,EUR_million,multiple,counterfactual_rules,budget_identity_rule_check,Counterfactual regimes require explicit financing sources and report no numerical result while inputs are missing,not_applicable,A reserve-accumulation conclusion changes if financing is treated as additional expenditure versus displaced State transfers,no_overstatement_detected,partial_bounded_review,missing_counterfactual_inputs,The review preserves budget consistency by blocking numerical histories
REPL_CLAIM_REGISTRY,claim_registry_completeness,BANK_FISCAL_001;BANK_FISCAL_002;BANK_COST_001;CGA_CGE_2011_001;BANK_AL_2011_001;BANK_AL_2011_002;BANK_DEBT_001;BPN_2012_002,evidence/claim_registry.csv;evidence/article_evidence.csv;evidence/figure_registry.csv;evidence/table_registry.csv,claim_registry;article_evidence,2011-2012,mixed,article_evidence_gate,mixed_basis,cross_registry_completeness_check,All current article-evidence claims map to claim-registry rows with falsification conditions and registered outputs,not_applicable,No substantive conclusion changes; unsupported claims remain outside the article evidence gate,replicated_bounded,partial_bounded_review,none,This row covers the machine-readable claim-registry gate rather than manuscript prose
REPL_MANUSCRIPT_LANGUAGE,manuscript_language_boundary,article_evidence_gate,paper/manuscript.tex;evidence/article_evidence.csv;paper/falsification_report.md,article_evidence;falsification_review,2011-2025,mixed,manuscript_claims,mixed_basis,post_evidence_language_audit,Manuscript text references all article-evidence rows and preserves unresolved-evidence language for blocked conclusions,not_applicable,Conclusions would change if later evidence resolves employee remittance employer gap combined-balance or lifecycle bank-transfer tests,no_overstatement_detected,partial_bounded_review,missing_final_manuscript_inputs,The manuscript was checked only after the evidence and registry review
