artifact_id,artifact_type,publication_status,companion_csv,required_inputs,available_inputs,permitted_use,status,blocking_issue,notes
FIG01,figure,ready_partial,paper/figures/data/fig01_cga_financing_decomposition.csv,full CGA financing decomposition 1977-2025,2011 extracted CGA balance decomposition,bounded_article_use,ready_partial_bounded,Missing primary historical CGA component series,Drawable for the 2011 extracted decomposition only
FIG02,figure,blocked,paper/figures/data/fig02_legal_contribution_timeline.csv,processed legal contribution-rate timeline,not_available,blocked_article_use,blocked_missing_processed_input,Missing primary processed timeline input,Companion stays as a blocked placeholder until processed input exists
FIG03,figure,blocked,paper/figures/data/fig03_cga_contributors_pensioners.csv,CGA contributor and pensioner count series,not_available,blocked_article_use,blocked_missing_count_series,Missing primary CGA count series,Counts are absent from the processed CGA ledger
FIG04,figure,blocked,paper/figures/data/fig04_employee_expected_recorded.csv,payroll withholding and CGA quota revenue split,not_available,blocked_article_use,blocked_missing_remittance_inputs,Missing primary payroll and worker-quota revenue records,Employee expected-versus-recorded figure remains blocked
FIG05,figure,blocked,paper/figures/data/fig05_employer_due_recorded.csv,payroll bases and recorded CGA employer revenue,not_available,blocked_article_use,blocked_missing_employer_inputs,Missing primary payroll and employer-revenue records,Employer due-versus-recorded figure remains blocked
FIG06,figure,blocked,paper/figures/data/fig06_public_worker_reallocation.csv,public-worker cohorts contribution bases and RGSS rates,not_available,blocked_article_use,blocked_missing_public_worker_inputs,Missing primary cohort payroll and contribution-rate records,Public-worker reallocation figure remains blocked
FIG07,figure,ready_partial,paper/figures/data/fig07_bank_transaction_map.csv,bank-level assets liabilities and retained responsibilities,known aggregate asset values with blocked liability values,bounded_article_use,ready_partial_bounded,Missing primary bank-level liability and retained-responsibility values,Drawable only as a partial transaction map
FIG08,figure,ready_partial,paper/figures/data/fig08_bank_expenditure_financing.csv,annual bank pension expenditure and State-specific financing series,2012 official financing and expenditure identity,bounded_article_use,ready_partial_bounded,Missing primary post-2012 annual component records,Drawable for the 2012 identity only
FIG09,figure,ready_partial,paper/figures/data/fig09_esa_treatment.csv,machine-readable ESA restatement bridge,2011 ESA-95 and ESA-2010 classification bridge,bounded_article_use,ready_partial_bounded,Missing primary machine-readable national-accounts restatement rows,Drawable for the bounded classification bridge only
FIG10,figure,blocked,paper/figures/data/fig10_bank_pv_sensitivity.csv,bank pension cash-flow and demographic schedule,not_available,blocked_article_use,blocked_missing_cashflow_inputs,Missing primary bank pension cash-flow and demographic records,PV sensitivity values cannot be computed yet
FIG11,figure,blocked,paper/figures/data/fig11_combined_balances.csv,combined-balance component series and row selections,not_available,blocked_article_use,blocked_missing_combined_balance_inputs,Missing primary combined-balance component records,Combined-balance figure remains blocked
TAB01,table,ready,paper/tables/table01_falsification_status.csv,falsification review ledger,data/processed/falsification_review.csv,bounded_article_use,ready_bounded,none,Adversarial test status table is ready for bounded use
TAB02,table,ready,paper/tables/table02_data_quality_blockers.csv,data-quality registry,evidence/data_quality_registry.csv,bounded_article_use,ready_bounded,none,Open blocker table is ready for bounded use
