figure_id,title,companion_csv,source_datasets,publication_status,primary_blocker,article_use_status,notes
FIG01,CGA financing decomposition,paper/figures/data/fig01_cga_financing_decomposition.csv,data/processed/cga_financing_ledger.csv,ready_partial,missing_historical_component_series,bounded_article_use,Supports 2011 extracted decomposition only
FIG02,Legal contribution-rate timeline,paper/figures/data/fig02_legal_contribution_timeline.csv,not_available,blocked,missing_processed_figure_input,blocked_article_use,No processed figure input yet
FIG03,CGA contributors and pensioners,paper/figures/data/fig03_cga_contributors_pensioners.csv,data/processed/cga_financing_ledger.csv,blocked,missing_count_series,blocked_article_use,Counts are absent from processed ledger
FIG04,Expected versus recorded employee contributions,paper/figures/data/fig04_employee_expected_recorded.csv,data/processed/employee_remittance_audit.csv,blocked,missing_remittance_reconciliation_inputs,blocked_article_use,Payroll and revenue split inputs are missing
FIG05,Legally due versus recorded employer contributions,paper/figures/data/fig05_employer_due_recorded.csv,data/processed/employer_contribution_audit.csv,blocked,missing_employer_reconciliation_inputs,blocked_article_use,Payroll and recorded employer revenue inputs are missing
FIG06,Post-2006 public-worker contribution reallocation,paper/figures/data/fig06_public_worker_reallocation.csv,data/processed/public_worker_rgss_contributions_2006_2025.csv,blocked,missing_public_worker_rgss_flow_inputs,blocked_article_use,Cohort and contribution inputs are missing
FIG07,2011 bank pension transaction map,paper/figures/data/fig07_bank_transaction_map.csv,data/processed/pension_flow_of_funds_long.csv;data/processed/bank_benefit_risk_distribution.csv,ready_partial,missing_bank_level_values,bounded_article_use,Supports partial map with known asset values and blocked liability values
FIG08,Bank transferred-pension annual expenditure versus State-specific financing,paper/figures/data/fig08_bank_expenditure_financing.csv,data/processed/bank_transfer_long_run.csv,ready_partial,missing_post_2012_annual_components,bounded_article_use,Supports 2012 official financing and expenditure identity only
FIG09,ESA-95 versus ESA-2010 treatment,paper/figures/data/fig09_esa_treatment.csv,data/processed/bank_esa_treatment_bridge.csv,ready_partial,missing_machine_readable_accounts,bounded_article_use,Supports 2011 classification bridge only
FIG10,Bank-liability PV sensitivity to discount rate,paper/figures/data/fig10_bank_pv_sensitivity.csv,data/processed/bank_asset_liability_sensitivity.csv,blocked,missing_cashflow_and_demographic_inputs,blocked_article_use,Sensitivity values cannot be computed
FIG11,Reported versus alternative combined pension balances,paper/figures/data/fig11_combined_balances.csv,data/processed/combined_balance_replication_2026.csv,blocked,missing_combined_balance_inputs,blocked_article_use,Combined-balance values are not yet available
