reference_id,title,year,authors,venue,source_category,topic,research_question,method,data_period,data_source,main_finding,relation_to_paper,novelty_role,inclusion_decision,search_database,search_query,search_date,source_url,notes
LIT_OECD_2019_PORTUGAL_PENSIONS,OECD Reviews of Pension Systems: Portugal,2019,OECD,OECD Reviews of Pension Systems,institutional_review,Portuguese pension system overview,How is the Portuguese pension system structured and what reforms shaped it?,policy review and pension-system description,current rules and reform history,OECD policy review,Portuguese old-age pensions are PAYG defined benefit; CGA is closed to new entrants since 2006 while pre-2006 civil servants remain in the old scheme,Provides institutional context and warns against merging CGA and RGSS perimeters,context,included_context,web_search,"Portuguese public pension financing CGA history academic paper",2026-08-21,https://www.oecd.org/en/publications/oecd-reviews-of-pension-systems-portugal_9789264313736-en/full-report/component-5.html,Institutional source not counted as academic novelty evidence
LIT_CAMPOS_PEREIRA_2008_CGA_REFORM,Impact of the Recent Reform of the Portuguese Public Employees' Pension System,2008,Maria Manuel Campos and Manuel Coutinho Pereira,Banco de Portugal Working Paper,academic_literature,CGA reform and closure,What was the simulated effect of the 2006 public-employee pension reform on retirement timing initial pensions and CGA expenditure?,micro-simulation using 2005 Public Administration Human Resources Database,2006 to CGA closure,public administration employee records and CGA rules,The reform postpones retirement for most CGA contributors and reduces pension-related expenditure over the closure horizon,Nearest paper on CGA reform effects; this project adds financing-flow identities remittance/employer-gap separation and consolidated-perimeter bridges,nearest_neighbor,included_nearest_neighbor,web_search,"site:bportugal.pt Pereira Rodrigues reform Portuguese public employees pension system 2008 PDF",2026-08-21,https://www.bportugal.pt/sites/default/files/anexos/papers/wp200812.pdf,Strong nearest neighbour but focused on reform simulation not historical financing reconstruction
LIT_PEREIRA_RODRIGUES_2001_AGEING,Ageing and Public Pensions in Portugal: A Snapshot Before the Reform,2001,Alfredo M. Pereira and Pedro G. Rodrigues,European Economy Reports and Studies,academic_literature,Portuguese pension sustainability,How would ageing affect Portuguese public pension expenditure before later reforms?,actuarial long-term projection,2000 to long-run projection horizon,common EU demographic and macroeconomic assumptions,Assesses long-run pressure from ageing on public pension expenditure before later reforms,Nearest sustainability-projection paper; this project adds observed financing ledgers and accounting definitions rather than only long-run expenditure projection,nearest_neighbor,included_nearest_neighbor,web_search,"Ageing and Public Pensions in Portugal Pereira",2026-08-21,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=649603,Search metadata identifies SSRN landing page for the European Economy item
LIT_REVISED_PROJECTIONS_2006,Revised Long-Term Projections for the Public Pension Schemes,2006,Portuguese official projection authors,European Commission Economy and Finance publication,technical_accounting_source,Portuguese pension projections,How did revised Portuguese long-term projections compare CGA and Social Security pension spending under AWG scenarios?,projection model and scenario comparison,2005 to 2050,AWG assumptions and Portuguese official projections,Projects public pension expenditure paths and separates public-sector worker scheme from Social Security models,Provides projection benchmark and perimeter separation but not flow-of-funds reconstruction,context,included_context,web_search,"Revised Long-Term Projections for the public pension schemes Portugal CGA Social Security",2026-08-21,https://ec.europa.eu/economy_finance/publications/pages/publication7092_en.pdf,Institutional technical projection source
LIT_GARCIA_SILVA_2023_DETERMINANTS,Pension expenditure determinants: the case of Portugal,2023,Maria Teresa Medeiros Garcia and Andre Fernando Rodrigues Rocha da Silva,Public Sector Economics,academic_literature,Pension expenditure determinants,Which macro-demographic variables explain Portuguese pension expenditure as a share of GDP?,time-series cointegration VECM impulse responses and variance decomposition,1975 to 2014,macroeconomic and demographic time series,Finds unemployment and productivity more important than ageing for long-run pension expenditure share movements,Nearest econometric expenditure paper; this project adds institutional financing and accounting-perimeter decomposition,nearest_neighbor,included_nearest_neighbor,web_search,"Pension expenditure determinants the case of Portugal Public Sector Economics 2023",2026-08-21,https://ideas.repec.org/a/ipf/psejou/v47y2023i2p177-203.html,Used RePEc metadata page with DOI and abstract
LIT_ABREU_DAVID_CGA_FINANCIAL_ANALYSIS,The Financial Analysis of the Portuguese Caixa Geral de Aposentações in the New Millennium,unknown,Rute Abreu and Fatima David,AECA conference PDF,academic_literature,CGA financial analysis,What accounting and sustainability issues affected CGA in the 2000s?,descriptive financial and institutional analysis,2002 to 2008,CGA annual reports and institutional documents,Identifies dispersion and consolidation problems in CGA accounting information and stresses contributor-pensioner sustainability indicators,Nearest CGA accounting paper; this project adds machine-readable ledgers validation gates and explicit concept ontology,nearest_neighbor,included_nearest_neighbor,web_search,"THE FINANCIAL ANALYSIS OF THE PORTUGUESE CAIXA GERAL DE APOSENTAÇÕES",2026-08-21,https://www.aeca1.org/pub/on_line/comunicaciones_xvicongresoaeca/cd/132f.pdf,Search result did not expose a reliable publication year
LIT_FINANCIALISATION_PORTUGAL_PENSIONS,Financialisation of pensions in semi-peripheral Portugal,2017,Ricardo Barradas and contributors,New Political Economy / FESSUD working version,academic_literature,Financialisation and pensions,How did Portuguese pension provision change under financialisation?,political economy case study,late twentieth century to post-crisis period,policy reforms institutional accounts and secondary literature,Frames pension changes in Portugal as part of variegated European pension financialisation,Context for funded/private-pension channels but not a transaction-level bank transfer reconstruction,context,included_context,web_search,"Financialisation of pensions in semi-peripheral Portugal",2026-08-21,https://estudogeral.sib.uc.pt/bitstream/10316/81385/3/Financialisation%20of%20pensions%20in%20semi-peripheral%20Portugal.pdf,Included for literature context rather than as a close methods neighbour
LIT_BDP_2014_ESA_SERIES,Banco de Portugal releases new statistical series,2014,Banco de Portugal,Banco de Portugal statistical press release,technical_accounting_source,ESA95 ESA2010 accounting,How did ESA2010 change recording of pension fund transfers and defined-benefit pension imbalances?,statistical-methodology release,1997 to 2014,Portuguese financial accounts and balance-of-payments revisions,States that pension fund transfers are recorded as financial transactions under ESA2010 and cease affecting the fiscal balance,Core accounting source for bank-transfer and ESA-bridge interpretation but not academic novelty evidence,context,included_context,web_search,"Banco de Portugal ESA2010 pension fund transfers financial transactions fiscal balance",2026-08-21,https://www.bportugal.pt/en/comunicado/banco-de-portugal-releases-new-statistical-series,Official statistical source
LIT_DEBOECK_ECKEFELDT_2020_IPL,Taking stock of implicit pension liabilities,2020,Ben Deboeck and Per Eckefeldt,Quarterly Report on the Euro Area,technical_accounting_source,Implicit pension liabilities,How should implicit public pension liabilities be understood relative to conventional debt and ESA reporting?,technical survey and accounting discussion,euro-area pension systems,Eurostat ESA2010 pension supplementary-table framework,Explains that ESA2010 introduced enhanced pension-liability reporting while most public pension schemes are PAYG and unfunded by design,Accounting benchmark for distinguishing liabilities from cash balances and debt,context,included_context,web_search,"implicit pension liabilities ESA2010 public pension schemes pay as you go",2026-08-21,https://economy-finance.ec.europa.eu/system/files/2020-10/ip135_en_chapter_iii.pdf,Technical context for actuarial liability language
LIT_ECB_2020_PENSION_DATA_GUIDE,Technical compilation guide for pension data in national accounts,2020,European Central Bank and Eurostat,ECB technical guide,technical_accounting_source,National-accounts pension data,How should pension entitlements assets liabilities and PAYG versus funded schemes be compiled in national accounts?,technical compilation guidance,ESA2010 reporting framework,national accounts pension supplementary table,Defines funded schemes as asset-backed and unfunded schemes as financed by current contributions taxes or transfers,Accounting source for funded/unfunded and stock-flow terminology,context,included_context,web_search,"Technical compilation guide pension data national accounts funded unfunded schemes",2026-08-21,https://www.ecb.europa.eu/pub/pdf/other/tech_compilation_guide_pension_data_national_accounts_2020~0cc96349d5.en.pdf,Used for definitions not empirical Portugal findings
