dataset,variable,year_start,year_end,issue_type,severity,resolution,status
cga_financing_ledger,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,1977,2025,missing_component_values,high,Acquire CGA annual reports and detailed CGE supporting tables before marking annual ledger rows complete or interpreting missing components as zero,open
employee_remittance_audit,legal_worker_liability;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,1977,2025,missing_remittance_reconciliation_inputs,high,Acquire legal-rate backfill payroll withholding totals CGA quota revenue split and reconciliation adjustments before testing whether deducted amounts were fully remitted,open
employer_contribution_audit,legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due;pre_2006_legal_rate_history,1977,2025,missing_employer_reconciliation_inputs,high,Acquire employer-class payroll bases CGA employer-contribution revenue split reconciliation adjustments and pre-2006 legal history before computing legal or economic gaps,open
public_worker_rgss_cohorts,lower;central;upper,2006,2025,missing_public_worker_cohort_counts,high,Acquire public employment new-entrant cohorts by year and perimeter before estimating post-2006 RGSS reallocation,open
public_worker_rgss_contributions_2006_2025,employee_contributions_lower;employee_contributions_central;employee_contributions_upper;employer_contributions_lower;employer_contributions_central;employer_contributions_upper;aggregate_rgss_contributions;pension_related_basis,2006,2025,missing_public_worker_rgss_flow_inputs,high,Acquire public-employer administrative contribution totals or cohort counts contribution bases RGSS legal rates pension-risk decomposition and aggregate RGSS revenue before computing mechanical reallocation flows,open
public_worker_reallocation_bridge,public_worker_new_entrant_counts;contribution_base_payroll;applicable_rgss_worker_rate;applicable_rgss_employer_rate,2006,2025,missing_public_worker_reallocation_inputs,high,Acquire post-2006 public-worker new-entrant counts payroll bases and applicable RGSS rates before quantifying mechanical reallocation flows,open
public_worker_liability_assumptions,cohort_counts;contribution_bases;service_histories;benefit_formula;indexation_rule;mortality_table;discount_rate,2006,2025,missing_public_worker_liability_inputs,high,Acquire public-worker cohort service wage benefit mortality indexation and discount inputs before valuing accrued RGSS pension rights,open
fefss_returns,reported_return;return_type;valuation_basis;fees_basis;source_page,2006,2025,missing_fefss_return_series,high,Acquire official FEFSS annual return measures valuation conventions fee treatment and page provenance before using returns in capitalization claims,open
public_worker_fefss_counterfactual,cash_flow;annual_return;timing_convention;actual_fefss_assets;financing_assumption,2006,2025,missing_cash_flow_and_return_inputs,high,Acquire public-worker contribution cash flows official FEFSS returns actual FEFSS asset stocks and explicit financing assumptions before exporting capitalization results,open
public_worker_fefss_sensitivity,cash_flow;fefss_return_series;government_financing_benchmark;actual_fefss_assets;real_price_index,2006,2025,missing_counterfactual_sensitivity_inputs,high,Acquire source-backed FEFSS returns low-risk benchmark rates actual asset stocks and price-index inputs before comparing nominal or real counterfactual reserve paths,open
